NF_true,Count,Tl_MAE_us,Tl_RMSE_us,Ts_MAE_us,Ts_RMSE_us,A_Tl,A_Ts,A_NF,A_total
1,876,0.2267182171344757,0.38515782356262207,0.5325968861579895,0.9689068794250488,0.613013698630137,0.5468036529680366,0.8264840182648402,0.5136986301369864
2,768,0.16766095161437988,0.2976303994655609,0.5690659880638123,1.0064294338226318,0.7122395833333334,0.51171875,0.8776041666666666,0.4934895833333333
3,856,0.17293167114257812,0.3213593661785126,0.799586832523346,1.4323927164077759,0.7079439252336449,0.43457943925233644,0.8200934579439252,0.4135514018691589
