sample_idx,k_active,active_sources,sep_fail_sources,nf_miss_to_0_sources,mean_sisdri_db,min_sisdri_db,collapse_cos_01,collapse_cos_02,collapse_cos_12,max_collapse_cos
447,3,3,1,1,4.3439408778720425,-14.719229530677834,0.11041661351919174,0.06521741300821304,0.8256517052650452,0.8256517052650452
415,3,3,1,0,3.0897671545097025,-13.05586928843302,0.7622573971748352,0.3945825695991516,0.6330686807632446,0.7622573971748352
430,3,3,1,1,10.50969897282711,-12.91242608443114,0.6538140773773193,0.04073828086256981,0.68288654088974,0.68288654088974
11,3,3,1,0,5.056014210650826,-10.598978134584865,0.20280782878398895,0.24516470730304718,0.9181007742881775,0.9181007742881775
280,3,3,1,1,3.4051616353845517,-10.409889053729458,0.879751443862915,0.08099553734064102,0.3137384057044983,0.879751443862915
396,3,3,1,0,5.315737943948245,-10.265027702471102,0.166911318898201,0.14933359622955322,0.6762830018997192,0.6762830018997192
43,3,3,1,0,3.688502171016097,-10.227945497482228,0.6588104367256165,0.15413810312747955,0.43096843361854553,0.6588104367256165
445,3,3,1,0,7.764831925754694,-9.485960090700548,0.1344156414270401,0.06689020246267319,0.8641191124916077,0.8641191124916077
240,3,3,1,0,-1.9582068610108905,-9.340577425193286,0.9293681383132935,0.9328583478927612,0.9325597882270813,0.9328583478927612
57,3,3,1,0,5.892799545933978,-8.913400132446956,0.6352421641349792,0.06629189848899841,0.3376120328903198,0.6352421641349792
224,3,3,1,1,8.183211124625432,-8.769047575564322,0.8451041579246521,0.6905055046081543,0.6372244358062744,0.8451041579246521
146,3,3,1,1,2.725476515983585,-8.765262640025169,0.7609183192253113,0.40041279792785645,0.14601008594036102,0.7609183192253113
413,3,3,1,1,6.687711019060404,-8.656844617593054,0.7872169613838196,0.6867467761039734,0.40132907032966614,0.7872169613838196
310,3,3,1,1,8.637938134944468,-8.498393935163111,0.8032808899879456,0.35847166180610657,0.24357585608959198,0.8032808899879456
131,3,3,1,1,2.7188830687422705,-8.470224681245586,0.899315357208252,0.6504871249198914,0.6156771183013916,0.899315357208252
213,3,3,1,0,7.458293389562232,-8.34514248055777,0.2301749289035797,0.0785273090004921,0.8154208064079285,0.8154208064079285
209,3,3,1,1,0.18028026693072471,-8.25307918556126,0.711249828338623,0.7541536092758179,0.5659522414207458,0.7541536092758179
44,3,3,1,1,4.654326581109455,-8.001760786700007,0.7240080833435059,0.36923274397850037,0.11410027742385864,0.7240080833435059
132,3,3,1,1,8.161080300565542,-7.881192766815936,0.20244984328746796,0.07211121171712875,0.846338152885437,0.846338152885437
