sample_idx,k_active,active_sources,sep_fail_sources,nf_miss_to_0_sources,mean_sisdri_db,min_sisdri_db,collapse_cos_01,collapse_cos_02,collapse_cos_12,max_collapse_cos
223,3,3,3,0,-6.772157205910186,-13.82864321056556,0.9502109885215759,0.9513804912567139,0.9534211158752441,0.9534211158752441
258,3,3,2,0,-7.419963281850722,-14.952935665343238,0.9497074484825134,0.9453897476196289,0.9385907053947449,0.9497074484825134
81,3,3,2,1,4.572006536870393,-13.200008056247897,0.515781581401825,0.04488296061754227,0.6640673875808716,0.6640673875808716
198,3,3,2,1,8.29994913077031,-9.921180788264355,0.2642143666744232,0.02969811111688614,0.8203562498092651,0.8203562498092651
493,3,3,2,0,0.36886621774475564,-7.161568622276454,0.5800362229347229,0.4507535398006439,0.43691879510879517,0.5800362229347229
100,3,3,2,1,-0.6209874895169746,-5.293128569729256,0.8037710189819336,0.8160969018936157,0.7060061693191528,0.8160969018936157
408,3,3,2,1,-0.4083296463027555,-4.949721546351281,0.6796210408210754,0.6051157116889954,0.3823614716529846,0.6796210408210754
470,3,3,2,0,4.64846413885801,-2.9469744293195754,0.3199250400066376,0.2309798151254654,0.4959341585636139,0.4959341585636139
120,3,3,2,1,-0.8897804454495177,-1.7427333825939644,0.7096059918403625,0.5811545848846436,0.4187004864215851,0.7096059918403625
107,3,3,1,0,-0.2885422061745639,-40.13598180880796,0.19435229897499084,0.05916488543152809,0.843280553817749,0.843280553817749
443,3,3,1,0,-2.6714183961933364,-34.31327275165327,0.29883331060409546,0.13066786527633667,0.6035879850387573,0.6035879850387573
346,3,3,1,1,-2.560247911347471,-25.325880376316565,0.5428053736686707,0.6028135418891907,0.10632457584142685,0.6028135418891907
477,3,3,1,0,-0.3326531982368933,-24.5744136476011,0.7533562183380127,0.042249325662851334,0.15064674615859985,0.7533562183380127
177,3,3,1,0,-1.8515488646748317,-23.94652146317133,0.7097375988960266,0.08280880749225616,0.14255666732788086,0.7097375988960266
50,3,3,1,1,5.136813085097338,-23.70203434179258,0.35537752509117126,0.03179539740085602,0.8222255110740662,0.8222255110740662
344,3,3,1,1,-0.072791388147681,-18.436496874226616,0.4509955644607544,0.7688824534416199,0.25896844267845154,0.7688824534416199
152,3,3,1,1,3.919421290384563,-18.26315443011747,0.41032856702804565,0.5327613949775696,0.08994127064943314,0.5327613949775696
136,3,3,1,1,3.0936270316928725,-15.185440012619894,0.5660684108734131,0.4580582082271576,0.1746998280286789,0.5660684108734131
468,3,3,1,0,0.3164269230614485,-14.8507702313204,0.5676467418670654,0.6944504380226135,0.24637490510940552,0.6944504380226135
447,3,3,1,1,4.3439408778720425,-14.719229530677834,0.11041661351919174,0.06521741300821304,0.8256517052650452,0.8256517052650452
415,3,3,1,0,3.0897671545097025,-13.05586928843302,0.7622573971748352,0.3945825695991516,0.6330686807632446,0.7622573971748352
430,3,3,1,1,10.50969897282711,-12.91242608443114,0.6538140773773193,0.04073828086256981,0.68288654088974,0.68288654088974
11,3,3,1,0,5.056014210650826,-10.598978134584865,0.20280782878398895,0.24516470730304718,0.9181007742881775,0.9181007742881775
280,3,3,1,1,3.4051616353845517,-10.409889053729458,0.879751443862915,0.08099553734064102,0.3137384057044983,0.879751443862915
396,3,3,1,0,5.315737943948245,-10.265027702471102,0.166911318898201,0.14933359622955322,0.6762830018997192,0.6762830018997192
