C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\transformer.py:379: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
2026-03-05 00:31:12,301 | INFO | Epoch 032 | train L=-22.35071 A_total=0.4089 NF_acc=0.8479 skip=0 | val L=-20.06750 A_total=0.3681 NF_acc=0.7920 skip=0
2026-03-05 00:31:44,862 | INFO | Epoch 033 | train L=-22.74241 A_total=0.4298 NF_acc=0.8538 skip=0 | val L=-20.80286 A_total=0.3850 NF_acc=0.7870 skip=0
2026-03-05 00:32:17,684 | INFO | Epoch 034 | train L=-23.06278 A_total=0.4427 NF_acc=0.8573 skip=0 | val L=-21.47493 A_total=0.2622 NF_acc=0.7933 skip=0
2026-03-05 00:32:51,745 | INFO | Epoch 035 | train L=-23.24328 A_total=0.4415 NF_acc=0.8601 skip=0 | val L=-21.79111 A_total=0.3860 NF_acc=0.7937 skip=0
2026-03-05 00:33:27,646 | INFO | Epoch 036 | train L=-23.44706 A_total=0.4594 NF_acc=0.8661 skip=0 | val L=-20.45285 A_total=0.3929 NF_acc=0.7843 skip=0
2026-03-05 00:34:03,089 | INFO | Epoch 037 | train L=-23.67091 A_total=0.4575 NF_acc=0.8641 skip=0 | val L=-21.71409 A_total=0.3375 NF_acc=0.8110 skip=0
2026-03-05 00:34:35,956 | INFO | Epoch 038 | train L=-23.93856 A_total=0.4618 NF_acc=0.8681 skip=0 | val L=-22.17120 A_total=0.4082 NF_acc=0.8007 skip=0
2026-03-05 00:35:08,822 | INFO | Epoch 039 | train L=-24.16287 A_total=0.4646 NF_acc=0.8689 skip=0 | val L=-22.34089 A_total=0.3696 NF_acc=0.8113 skip=0
2026-03-05 00:35:41,824 | INFO | Epoch 040 | train L=-24.35756 A_total=0.4779 NF_acc=0.8769 skip=0 | val L=-22.01141 A_total=0.4103 NF_acc=0.8100 skip=0
2026-03-05 00:36:15,279 | INFO | Epoch 041 | train L=-24.58779 A_total=0.4781 NF_acc=0.8775 skip=0 | val L=-21.98924 A_total=0.4190 NF_acc=0.8020 skip=0
2026-03-05 00:36:50,101 | INFO | Epoch 042 | train L=-24.76148 A_total=0.4939 NF_acc=0.8873 skip=0 | val L=-22.58356 A_total=0.4122 NF_acc=0.7957 skip=0
