C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\transformer.py:379: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
2026-03-05 00:48:02,029 | INFO | Epoch 001 | train L=-4.71619 A_total=0.0087 NF_acc=0.3771 skip=0 | val L=-7.96865 A_total=0.0080 NF_acc=0.4340 skip=0
2026-03-05 00:48:25,984 | INFO | Epoch 002 | train L=-7.73679 A_total=0.0213 NF_acc=0.4950 skip=0 | val L=-9.80226 A_total=0.0316 NF_acc=0.5670 skip=0
2026-03-05 00:48:49,977 | INFO | Epoch 003 | train L=-9.31927 A_total=0.0555 NF_acc=0.5576 skip=0 | val L=-9.40660 A_total=0.0343 NF_acc=0.6020 skip=0
2026-03-05 00:49:13,878 | INFO | Epoch 004 | train L=-10.56732 A_total=0.0915 NF_acc=0.5966 skip=0 | val L=-11.57799 A_total=0.0623 NF_acc=0.6207 skip=0
2026-03-05 00:49:37,917 | INFO | Epoch 005 | train L=-11.61016 A_total=0.1386 NF_acc=0.6287 skip=0 | val L=-12.48356 A_total=0.0636 NF_acc=0.6000 skip=0
2026-03-05 00:50:01,901 | INFO | Epoch 006 | train L=-12.31497 A_total=0.1636 NF_acc=0.6476 skip=0 | val L=-12.87070 A_total=0.1370 NF_acc=0.6720 skip=0
2026-03-05 00:50:25,852 | INFO | Epoch 007 | train L=-13.00673 A_total=0.1804 NF_acc=0.6684 skip=0 | val L=-13.80154 A_total=0.1477 NF_acc=0.6810 skip=0
2026-03-05 00:50:49,822 | INFO | Epoch 008 | train L=-13.87112 A_total=0.2098 NF_acc=0.6815 skip=0 | val L=-14.33521 A_total=0.1119 NF_acc=0.6820 skip=0
2026-03-05 00:51:13,764 | INFO | Epoch 009 | train L=-14.38243 A_total=0.2330 NF_acc=0.6962 skip=0 | val L=-14.74502 A_total=0.0779 NF_acc=0.5850 skip=0
2026-03-05 00:51:37,767 | INFO | Epoch 010 | train L=-14.95561 A_total=0.2383 NF_acc=0.7144 skip=0 | val L=-14.40742 A_total=0.1533 NF_acc=0.6560 skip=0
2026-03-05 00:52:01,715 | INFO | Epoch 011 | train L=-15.43004 A_total=0.2554 NF_acc=0.7212 skip=0 | val L=-14.69071 A_total=0.0606 NF_acc=0.7187 skip=0
2026-03-05 00:52:25,605 | INFO | Epoch 012 | train L=-15.71143 A_total=0.2715 NF_acc=0.7331 skip=0 | val L=-15.11892 A_total=0.1569 NF_acc=0.7377 skip=0
2026-03-05 00:52:49,626 | INFO | Epoch 013 | train L=-16.42539 A_total=0.2887 NF_acc=0.7477 skip=0 | val L=-16.14532 A_total=0.2300 NF_acc=0.7197 skip=0
2026-03-05 00:53:13,573 | INFO | Epoch 014 | train L=-16.71232 A_total=0.2884 NF_acc=0.7498 skip=0 | val L=-15.52726 A_total=0.1894 NF_acc=0.7397 skip=0
2026-03-05 00:53:37,478 | INFO | Epoch 015 | train L=-17.10058 A_total=0.2934 NF_acc=0.7571 skip=0 | val L=-16.82736 A_total=0.2050 NF_acc=0.7463 skip=0
