C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\transformer.py:379: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
2026-03-04 23:42:25,689 | INFO | Epoch 001 | train L=-4.87737 A_total=0.0046 NF_acc=0.4133 skip=0 | val L=-8.04174 A_total=0.0080 NF_acc=0.4907 skip=0
2026-03-04 23:42:52,559 | INFO | Epoch 002 | train L=-7.84267 A_total=0.0216 NF_acc=0.5396 skip=0 | val L=-9.50937 A_total=0.0209 NF_acc=0.5123 skip=0
2026-03-04 23:43:19,361 | INFO | Epoch 003 | train L=-9.42218 A_total=0.0464 NF_acc=0.5954 skip=0 | val L=-9.44315 A_total=0.0224 NF_acc=0.5773 skip=0
2026-03-04 23:43:46,129 | INFO | Epoch 004 | train L=-10.61090 A_total=0.0833 NF_acc=0.6406 skip=0 | val L=-11.20163 A_total=0.0404 NF_acc=0.6157 skip=0
2026-03-04 23:44:12,789 | INFO | Epoch 005 | train L=-11.64941 A_total=0.1288 NF_acc=0.6812 skip=0 | val L=-12.63883 A_total=0.0349 NF_acc=0.6237 skip=0
2026-03-04 23:44:39,392 | INFO | Epoch 006 | train L=-12.40964 A_total=0.1653 NF_acc=0.6984 skip=0 | val L=-13.02343 A_total=0.1276 NF_acc=0.6870 skip=0
2026-03-04 23:45:06,113 | INFO | Epoch 007 | train L=-13.06032 A_total=0.1788 NF_acc=0.7173 skip=0 | val L=-13.73321 A_total=0.1274 NF_acc=0.6843 skip=0
2026-03-04 23:45:32,649 | INFO | Epoch 008 | train L=-13.85537 A_total=0.1997 NF_acc=0.7278 skip=0 | val L=-14.46944 A_total=0.1405 NF_acc=0.6480 skip=0
2026-03-04 23:45:59,246 | INFO | Epoch 009 | train L=-14.46194 A_total=0.2244 NF_acc=0.7532 skip=0 | val L=-14.75104 A_total=0.1379 NF_acc=0.6887 skip=0
2026-03-04 23:46:25,747 | INFO | Epoch 010 | train L=-14.98685 A_total=0.2312 NF_acc=0.7627 skip=0 | val L=-14.98980 A_total=0.1483 NF_acc=0.7423 skip=0
2026-03-04 23:46:52,327 | INFO | Epoch 011 | train L=-15.51109 A_total=0.2426 NF_acc=0.7711 skip=0 | val L=-14.82800 A_total=0.0408 NF_acc=0.7327 skip=0
2026-03-04 23:47:18,983 | INFO | Epoch 012 | train L=-15.74779 A_total=0.2671 NF_acc=0.7792 skip=0 | val L=-14.91710 A_total=0.1272 NF_acc=0.7340 skip=0
2026-03-04 23:47:45,482 | INFO | Epoch 013 | train L=-16.51776 A_total=0.2861 NF_acc=0.7927 skip=0 | val L=-16.01200 A_total=0.2336 NF_acc=0.7417 skip=0
2026-03-04 23:48:12,073 | INFO | Epoch 014 | train L=-16.73810 A_total=0.2773 NF_acc=0.7960 skip=0 | val L=-15.64556 A_total=0.2231 NF_acc=0.7140 skip=0
2026-03-04 23:48:38,721 | INFO | Epoch 015 | train L=-17.14023 A_total=0.2969 NF_acc=0.8061 skip=0 | val L=-17.03187 A_total=0.2036 NF_acc=0.7437 skip=0
2026-03-04 23:49:05,262 | INFO | Epoch 016 | train L=-17.51776 A_total=0.2912 NF_acc=0.8093 skip=0 | val L=-17.19184 A_total=0.3040 NF_acc=0.7773 skip=0
2026-03-04 23:49:31,946 | INFO | Epoch 017 | train L=-17.87262 A_total=0.3205 NF_acc=0.8171 skip=0 | val L=-15.23861 A_total=0.2737 NF_acc=0.7717 skip=0
2026-03-04 23:49:58,502 | INFO | Epoch 018 | train L=-18.24090 A_total=0.3168 NF_acc=0.8228 skip=0 | val L=-18.20725 A_total=0.1656 NF_acc=0.7960 skip=0
2026-03-04 23:50:25,037 | INFO | Epoch 019 | train L=-18.52918 A_total=0.3324 NF_acc=0.8243 skip=0 | val L=-18.68224 A_total=0.2593 NF_acc=0.7883 skip=0
