NF_true,Count,Tl_MAE_us,Tl_RMSE_us,Ts_MAE_us,Ts_RMSE_us,A_Tl,A_Ts,A_NF,A_total
1,876,0.24705947935581207,0.418429970741272,0.5680404305458069,1.0460692644119263,0.5856164383561644,0.5365296803652968,0.8105022831050228,0.4988584474885845
2,768,0.20177102088928223,0.3576428294181824,0.6124428510665894,1.0929064750671387,0.64453125,0.5078125,0.8203125,0.484375
3,856,0.19478696584701538,0.36212602257728577,0.8594498634338379,1.5372745990753174,0.6822429906542056,0.4158878504672897,0.830607476635514,0.4007009345794392
