sample_idx,k_active,active_sources,sep_fail_sources,nf_miss_to_0_sources,mean_sisdri_db,min_sisdri_db,collapse_cos_01,collapse_cos_02,collapse_cos_12,max_collapse_cos
74,2,2,2,1,-4.370064235227909,-8.65992940123023,0.8302159905433655,0.8176167607307434,0.8720241189002991,0.8720241189002991
372,2,2,1,1,-8.368754939593032,-17.669810812800495,0.7729353308677673,0.6887820959091187,0.8689152002334595,0.8689152002334595
342,2,2,1,1,-8.00287262597032,-16.986890288940607,0.8383429050445557,0.7636455297470093,0.8516185879707336,0.8516185879707336
94,2,2,1,0,-4.226882738877983,-13.137126348073638,0.7117090821266174,0.66764235496521,0.8073986172676086,0.8073986172676086
260,2,2,1,1,-5.982747283883457,-12.299256779089175,0.7617655992507935,0.7234070301055908,0.8548092246055603,0.8548092246055603
86,2,2,1,1,-4.464030759062751,-10.629778316836044,0.7731311321258545,0.6868358850479126,0.6054661273956299,0.7731311321258545
101,2,2,1,0,-4.094473183259432,-9.128885671106783,0.7877035737037659,0.7056410312652588,0.695462167263031,0.7877035737037659
80,2,2,1,0,7.8696546858586505,-6.769338617425323,0.38852551579475403,0.08350156247615814,0.7703097462654114,0.7703097462654114
137,2,2,1,0,-2.315737051009402,-6.002335160965372,0.8990636467933655,0.871062695980072,0.9371964931488037,0.9371964931488037
460,2,2,1,0,1.018310681127315,-4.09452740692197,0.7945091128349304,0.7337806224822998,0.4988854229450226,0.7945091128349304
310,2,2,1,1,-0.1361720200209744,-3.483999436643086,0.6780145764350891,0.6264237761497498,0.868889331817627,0.868889331817627
338,2,2,1,0,0.7444626811081019,-2.9918691859300477,0.7920364737510681,0.7383696436882019,0.4997905492782593,0.7920364737510681
311,2,2,1,0,1.7369387019697933,-2.560564191762399,0.6188303828239441,0.7472416162490845,0.7258862853050232,0.7472416162490845
49,2,2,1,1,4.419747253718114,-2.4546725137598155,0.6813836693763733,0.6179279088973999,0.6558075547218323,0.6813836693763733
493,2,2,1,0,0.7881291453295552,-1.9511210809548378,0.7580133080482483,0.5724165439605713,0.26804181933403015,0.7580133080482483
253,2,2,1,1,5.951776228765284,-1.6862063180619522,0.72580885887146,0.5010781288146973,0.7770205736160278,0.7770205736160278
81,2,2,1,0,-0.17309937032755474,-1.6828526878292398,0.7410714626312256,0.7839505076408386,0.6948525905609131,0.7839505076408386
232,2,2,1,0,-0.39489305364803273,-0.8042624316827369,0.8250725865364075,0.7729660272598267,0.8432514071464539,0.8432514071464539
498,2,2,1,1,0.8119217772800258,-0.5223041503297173,0.7550605535507202,0.8160988688468933,0.8369709849357605,0.8369709849357605
472,2,2,1,0,0.5047233971889273,-0.14706475172855704,0.5793259739875793,0.4944230020046234,0.8100592494010925,0.8100592494010925
192,2,2,1,1,0.635196919914047,-0.055507416282136735,0.7135016918182373,0.7284924387931824,0.8686232566833496,0.8686232566833496
359,2,2,0,0,2.400107604001736,0.07195093187075852,0.7525957822799683,0.7305907607078552,0.7990761995315552,0.7990761995315552
470,2,2,0,0,0.9619510397701505,0.10569963524427073,0.7401133179664612,0.5687320828437805,0.22188468277454376,0.7401133179664612
64,2,2,0,1,1.6711311095378794,0.29527993256818824,0.7078641653060913,0.5896874070167542,0.32506299018859863,0.7078641653060913
477,2,2,0,0,2.111165298725525,0.457432725927422,0.7454943060874939,0.74542635679245,0.8782175183296204,0.8782175183296204
