sample_idx,k_active,active_sources,sep_fail_sources,nf_miss_to_0_sources,mean_sisdri_db,min_sisdri_db,collapse_cos_01,collapse_cos_02,collapse_cos_12,max_collapse_cos
239,2,2,0,0,23.852468463995613,16.67844914979431,0.40592333674430847,0.06046750396490097,0.7821352481842041,0.7821352481842041
378,2,2,0,0,16.788414117394225,16.695218475901715,0.20209284126758575,0.05225647613406181,0.5301854610443115,0.5301854610443115
54,2,2,0,0,21.590164863690298,16.83807479279008,0.7974101901054382,0.4710746705532074,0.2675026059150696,0.7974101901054382
438,2,2,0,0,19.861835341252025,16.887204525347887,0.804313600063324,0.061100661754608154,0.26654958724975586,0.804313600063324
482,2,2,0,0,17.380213530548502,16.915127063666592,0.8116796612739563,0.0868171900510788,0.28478267788887024,0.8116796612739563
62,2,2,0,0,19.712087730142088,16.930817334337714,0.2830197513103485,0.0656871572136879,0.8106203675270081,0.8106203675270081
168,2,2,0,0,26.333979029012184,16.938202161423252,0.5824573636054993,0.022942088544368744,0.6543810963630676,0.6543810963630676
70,2,2,0,0,19.855913374054026,16.965700179216295,0.5246168375015259,0.08970072120428085,0.04393940046429634,0.5246168375015259
321,2,2,0,0,17.814333244420297,16.97432204299181,0.8105819821357727,0.13964244723320007,0.16740135848522186,0.8105819821357727
237,2,2,0,0,19.046949122494514,16.99670101100192,0.7871702313423157,0.5833766460418701,0.3652747571468353,0.7871702313423157
380,2,2,0,0,19.055370634768657,17.00135952057561,0.8667242527008057,0.31793850660324097,0.06241300329566002,0.8667242527008057
404,2,2,0,0,23.282203933367438,17.02712562482663,0.5077018737792969,0.04115942865610123,0.6851485967636108,0.6851485967636108
316,2,2,0,0,25.813143584960038,17.06145568975577,0.47390827536582947,0.035832710564136505,0.7169153094291687,0.7169153094291687
55,2,2,0,0,19.21372343296906,17.06975537707384,0.47576555609703064,0.7371291518211365,0.10132337361574173,0.7371291518211365
293,2,2,0,0,18.16952933810886,17.082585305443516,0.6443947553634644,0.04949852451682091,0.5423983335494995,0.6443947553634644
423,2,2,0,0,19.433695717894743,17.109046333450266,0.566127598285675,0.030406435951590538,0.18585114181041718,0.566127598285675
33,2,2,0,0,17.514095110472418,17.127300990249335,0.37452173233032227,0.10230740159749985,0.743226170539856,0.743226170539856
205,2,2,0,0,17.774249758156834,17.150281177088026,0.673128068447113,0.05050972104072571,0.2900470793247223,0.673128068447113
494,2,2,0,0,18.869167940028277,17.157701166767275,0.5198374390602112,0.14652898907661438,0.5299588441848755,0.5299588441848755
108,2,2,0,0,17.449811025795572,17.19303426696248,0.1728304922580719,0.07294918596744537,0.8631935715675354,0.8631935715675354
217,2,2,0,0,21.812117217741566,17.393991063538778,0.5176070332527161,0.35337552428245544,0.0711371898651123,0.5176070332527161
279,2,2,0,0,18.807504655230016,17.407667986130647,0.5103384852409363,0.03539325296878815,0.31043481826782227,0.5103384852409363
357,2,2,0,0,24.753918543520633,17.444184863716025,0.42207446694374084,0.031237570568919182,0.74928879737854,0.74928879737854
476,2,2,0,0,20.153693114135596,17.497197921732045,0.43899860978126526,0.08659515529870987,0.7681499719619751,0.7681499719619751
295,2,2,0,0,18.74930687496765,17.547899375531557,0.35619881749153137,0.09905295819044113,0.6288119554519653,0.6288119554519653
52,2,2,0,0,17.951768257244417,17.637017461561598,0.4878828823566437,0.5706502795219421,0.13307882845401764,0.5706502795219421
487,2,2,0,0,18.514964089642724,17.675231889712652,0.7049116492271423,0.5294798016548157,0.15471258759498596,0.7049116492271423
297,2,2,0,0,18.12505964884005,17.712788299014104,0.8536226153373718,0.0732102021574974,0.22563937306404114,0.8536226153373718
171,2,2,0,0,24.551658857876088,17.75415337361064,0.8283342123031616,0.3834695816040039,0.033016812056303024,0.8283342123031616
329,2,2,0,0,19.578835592148025,17.773119488900605,0.6122170090675354,0.12980084121227264,0.5406838655471802,0.6122170090675354
103,2,2,0,0,24.0019007905261,17.82024721823565,0.23668019473552704,0.062096428126096725,0.8997395038604736,0.8997395038604736
100,2,2,0,0,21.374506622652802,17.86014542331925,0.711016833782196,0.23170477151870728,0.05565141886472702,0.711016833782196
463,2,2,0,0,18.083055184416295,17.860518148818162,0.7480666041374207,0.6320526599884033,0.4464658796787262,0.7480666041374207
368,2,2,0,0,19.560926503306234,17.869698246509785,0.22440825402736664,0.0593811459839344,0.8551995754241943,0.8551995754241943
243,2,2,0,0,22.120778557113823,17.907159413943056,0.35337403416633606,0.16132277250289917,0.8069477677345276,0.8069477677345276
158,2,2,0,0,20.717126103462455,17.9169736634488,0.7950026392936707,0.25935691595077515,0.04887574911117554,0.7950026392936707
308,2,2,0,0,21.122668664069245,17.98802020290558,0.3532905578613281,0.07267710566520691,0.6632270216941833,0.6632270216941833
89,2,2,0,0,18.399034530555294,18.003612108333698,0.7904425859451294,0.5557054877281189,0.3373187780380249,0.7904425859451294
292,2,2,0,0,22.38374425160773,18.013816213307756,0.3592663109302521,0.044672369956970215,0.784874439239502,0.784874439239502
489,2,2,0,1,20.46332000451053,18.021933839488078,0.6201210021972656,0.1610356569290161,0.4247768819332123,0.6201210021972656
275,2,2,0,0,22.587378347046844,18.027063555528358,0.5904495120048523,0.6307828426361084,0.05981982499361038,0.6307828426361084
408,2,2,0,0,19.518804014046307,18.029006375095747,0.7451187968254089,0.47454148530960083,0.0824097990989685,0.7451187968254089
118,2,2,0,0,30.20148662294918,18.04021942200243,0.5446435213088989,0.0370255708694458,0.6791176199913025,0.6791176199913025
439,2,2,0,0,23.409283226886167,18.091468072400527,0.5650324821472168,0.0374365970492363,0.6749268770217896,0.6749268770217896
219,2,2,0,0,20.091617832655437,18.112239302087673,0.6974985003471375,0.3733367621898651,0.09065468609333038,0.6974985003471375
53,2,2,0,0,18.32890568120589,18.145082232935003,0.1574551910161972,0.27109166979789734,0.879591166973114,0.879591166973114
200,2,2,0,0,18.976424884618908,18.21149644267883,0.5039740204811096,0.6783621311187744,0.16277094185352325,0.6783621311187744
414,2,2,0,0,20.412152524555985,18.301630654423143,0.16815030574798584,0.06278719007968903,0.8249226212501526,0.8249226212501526
3,2,2,0,0,19.82609135533881,18.30770691649106,0.31158798933029175,0.06833028048276901,0.7395656108856201,0.7395656108856201
240,2,2,0,0,19.817580904867675,18.335305988041387,0.4382838010787964,0.032786279916763306,0.6165595650672913,0.6165595650672913
