NF_true,Count,Tl_MAE_us,Tl_RMSE_us,Ts_MAE_us,Ts_RMSE_us,A_Tl,A_Ts,A_NF,A_total
1,876,0.2155344933271408,0.35045209527015686,0.5239192247390747,0.9489367008209229,0.5924657534246576,0.545662100456621,0.8458904109589042,0.5136986301369864
2,768,0.17055247724056244,0.2913840115070343,0.6539626717567444,1.1976548433303833,0.6966145833333334,0.5104166666666666,0.8177083333333334,0.484375
3,856,0.1666264683008194,0.2923261821269989,0.9115593433380127,1.648798942565918,0.7067757009345794,0.41238317757009346,0.830607476635514,0.39602803738317754
