run,n_active_sources,n_fail_sources,fail_ratio,n_sep_fail,sep_fail_ratio_in_fails,n_sep_ok_but_fail,sep_ok_ratio_in_fails,n_nf_wrong_in_fails,nf_wrong_ratio_in_fails,n_tl_wrong_in_fails,tl_wrong_ratio_in_fails,n_ts_wrong_in_fails,ts_wrong_ratio_in_fails,n_nf_correct_but_fail,n_nf_wrong_and_fail,top_flag_1,top_flag_1_count,top_flag_2,top_flag_2_count,top_flag_3,top_flag_3_count,top_flag_4,top_flag_4_count,top_flag_5,top_flag_5_count
hardfix_baseline,2500,1282,0.5128,103,0.08034321372854915,1179,0.9196567862714509,401,0.312792511700468,798,0.6224648985959438,1228,0.9578783151326054,881,401,ts_out_tol,1228,single_cycle,853,tl_out_tol,798,low_jnr,580,sep_negative,552
hardfix_onevar_periodic,2500,1263,0.5052,113,0.0894695170229612,1150,0.9105304829770388,430,0.3404592240696754,828,0.6555819477434679,1196,0.9469517022961204,833,430,ts_out_tol,1196,tl_out_tol,828,single_cycle,809,low_jnr,583,sep_negative,550
