Scenario,RunDir,SI_SDRi_mean_dB,SI_SDR_mean_dB,Paper_Table4_SI_SDRi_dB,Gap_to_Paper_dB,Count_active_sources
dual,runs/exp_cisrj_repro_dual_smoke_v1,5.983086767690256,1.9794027496241615,20.9,-14.916913232309742,1000
multi,runs/exp_cisrj_repro_multi_smoke_v1,5.916771433194478,-1.72369005130666,17.8,-11.883228566805522,1500
