scenario,need2_e2_A_total,need2_e2_A_Ts,need2_e2_A_Tl,need2_e2_A_NF,need2_e2_NF_Acc,need2_e2_NF_macroF1,need2_e2_Ts_MAE_us,need2_e2_Tl_MAE_us,need3_A_total,need3_A_Ts,need3_A_Tl,need3_A_NF,need3_NF_Acc,need3_NF_macroF1,need3_Ts_MAE_us,need3_Tl_MAE_us,delta_A_total,delta_A_Ts,delta_A_Tl,delta_A_NF,delta_NF_Acc,delta_NF_macroF1,delta_Ts_MAE_us,delta_Tl_MAE_us
all,0.4732,0.4976,0.676,0.84,0.802,0.7855455492566235,0.6352176070213318,0.19015930593013763,0.452,0.4884,0.6432,0.834,0.822,0.8121869232156942,0.6281059384346008,0.22184695303440094,-0.021199999999999997,-0.009199999999999986,-0.03280000000000005,-0.006000000000000005,0.019999999999999907,0.026641373959070735,-0.007111668586730957,0.031687647104263306
dual,0.578,0.596,0.766,0.919,0.8166666666666667,0.8206600070036474,0.41443929076194763,0.14045371115207672,0.551,0.583,0.741,0.905,0.8573333333333333,0.8588938809553799,0.43891993165016174,0.15803292393684387,-0.026999999999999913,-0.013000000000000012,-0.025000000000000022,-0.014000000000000012,0.04066666666666663,0.0382338739517325,0.02448064088821411,0.01757921278476715
multi,0.4033333333333333,0.432,0.616,0.7873333333333333,0.7873333333333333,0.6124059383932045,0.7824022769927979,0.22329667210578918,0.386,0.42533333333333334,0.578,0.7866666666666666,0.7866666666666666,0.6191988500355525,0.754230797290802,0.2643895745277405,-0.01733333333333331,-0.006666666666666654,-0.038000000000000034,-0.0006666666666667043,-0.0006666666666667043,0.006792911642348076,-0.02817147970199585,0.041092902421951294
