Scenario,MyModel_A_total,HisModel_A_total,MyModel_A_Tl,HisModel_A_Tl,MyModel_A_Ts,HisModel_A_Ts,MyModel_A_NF,HisModel_A_NF,Delta_A_total
dual,0.578,0.014,0.766,0.097,0.596,0.06,0.919,0.337,0.564
multi,0.4033333333333333,0.0213333333333333,0.616,0.124,0.432,0.06,0.7873333333333333,0.3213333333333333,0.382
