nf_true,nf_pred,count,run
1,0,87,hardfix_onevar_periodic
1,2,34,hardfix_onevar_periodic
1,3,19,hardfix_onevar_periodic
2,0,49,hardfix_onevar_periodic
2,1,45,hardfix_onevar_periodic
2,3,54,hardfix_onevar_periodic
3,0,52,hardfix_onevar_periodic
3,1,28,hardfix_onevar_periodic
3,2,62,hardfix_onevar_periodic
