Scenario,RunDir,SI_SDRi_mean_dB,SI_SDR_mean_dB,Paper_Table4_SI_SDRi_dB,Gap_to_Paper_dB,Count_active_sources
dual,runs/exp_cisrj_sep_dual_smoke_v1,10.124589279502631,6.120905261812194,20.9,-10.775410720497367,1000
multi,runs/exp_cisrj_sep_multi_smoke_v1,7.240443602164587,-0.40001789199436705,17.8,-10.559556397835415,1500
