tag,n_active_sources,n_fail_sources,fail_ratio,sep_fail_ratio_in_fails,nf_wrong_ratio_in_fails,tl_wrong_ratio_in_fails,ts_wrong_ratio_in_fails,flag_ts_out_tol_ratio,flag_tl_out_tol_ratio,flag_nf_wrong_class_ratio,flag_nf_miss_to_0_ratio,flag_low_jnr_ratio,flag_heavy_overlap_ratio,flag_single_cycle_ratio,flag_sep_worse_than_mix_ratio,flag_slot_collapse_ratio,fail_abs_tl_err_q50,fail_abs_tl_err_q90,fail_abs_tl_err_q99,fail_abs_ts_err_q50,fail_abs_ts_err_q90,fail_abs_ts_err_q99
onevar_all,2500,1263,0.5052,0.0894695170229612,0.3404592240696754,0.6555819477434679,0.9469517022961204,0.9469517022961204,0.6555819477434679,0.1916072842438638,0.14885193982581155,0.4615993665874901,0.19477434679334918,0.6405384006334125,0.0894695170229612,0.012668250197941409,0.2127027511596679,0.9979767322540282,1.8685043430328367,0.6418843269348145,2.806300354003906,5.802628765106198
onevar_dual,1000,405,0.405,0.04691358024691358,0.2419753086419753,0.6222222222222222,0.9234567901234568,0.9234567901234568,0.6222222222222222,0.1382716049382716,0.1037037037037037,0.454320987654321,0.08888888888888889,0.6123456790123457,0.04691358024691358,0.014814814814814815,0.1864101886749267,0.7718222618103028,1.8630411052703837,0.4724912643432617,1.994265460968018,4.678445129394531
onevar_multi,1500,858,0.572,0.10955710955710955,0.38694638694638694,0.6713286713286714,0.958041958041958,0.958041958041958,0.6713286713286714,0.21678321678321677,0.17016317016317017,0.46503496503496505,0.24475524475524477,0.6538461538461539,0.10955710955710955,0.011655011655011656,0.23322653770446775,1.0502512454986574,1.8615002036094659,0.746565580368042,3.2100073099136357,6.33728576183319
baseline_all,2500,1282,0.5128,0.08034321372854915,0.312792511700468,0.6224648985959438,0.9578783151326054,0.9578783151326054,0.6224648985959438,0.20046801872074882,0.11232449297971919,0.45241809672386896,0.20202808112324494,0.6653666146645866,0.08034321372854915,0.0171606864274571,0.1945561170578003,0.8828618645668032,1.8410239124298104,0.6088933944702148,2.620090699195862,5.765728216171267
