scenario,baseline_A_total,onevar_A_total,delta_A_total,baseline_A_NF,onevar_A_NF,delta_A_NF,baseline_A_Tl,onevar_A_Tl,delta_A_Tl,baseline_A_Ts,onevar_A_Ts,delta_A_Ts,baseline_NF_Acc,onevar_NF_Acc,delta_NF_Acc,baseline_NF_macroF1,onevar_NF_macroF1,delta_NF_macroF1,baseline_Tl_MAE_us,onevar_Tl_MAE_us,delta_Tl_MAE_us,baseline_Ts_MAE_us,onevar_Ts_MAE_us,delta_Ts_MAE_us
all,0.4872,0.4948,0.007599999999999996,0.8396,0.828,-0.011600000000000055,0.6808,0.6688,-0.01200000000000001,0.5088,0.5216,0.012799999999999923,0.8116666666666666,0.818,0.006333333333333302,0.7982486064363148,0.8086269469414358,0.010378340505120986,0.1982692927122116,0.2147432565689087,0.016473963856697083,0.6146830320358276,0.6364431381225586,0.021760106086730957
dual,0.589,0.595,0.006000000000000005,0.911,0.902,-0.009000000000000008,0.761,0.748,-0.013000000000000012,0.612,0.626,0.014000000000000012,0.8313333333333334,0.8573333333333333,0.025999999999999912,0.8344000985678439,0.859561842661559,0.025161744093715077,0.14121904969215393,0.15557974576950073,0.014360696077346802,0.3907126188278198,0.40628254413604736,0.015569925308227539
multi,0.41933333333333334,0.428,0.008666666666666656,0.792,0.7786666666666666,-0.01333333333333342,0.6273333333333333,0.616,-0.011333333333333306,0.44,0.452,0.01200000000000001,0.792,0.7786666666666666,-0.01333333333333342,0.6166088924948945,0.6130804795663386,-0.0035284129285558796,0.23630273342132568,0.2541857063770294,0.017882972955703735,0.7639972567558289,0.7898833155632019,0.025886058807373047
