Group,Count,Tl_MAE_us,Ts_MAE_us,A_Tl,A_Ts,A_NF,A_total
nf_correct,2100,0.1324705183506012,0.39268550276756287,0.7552380952380953,0.5780952380952381,1.0,0.5633333333333334
nf_wrong,400,0.4930254817008972,1.9085110425949097,0.26,0.075,0.0,0.0
